 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.x1.xmb6.msky130_fd_ m.x1.xmb5.msky130_fd_ m.x1.xmb4.msky130_fd_
      model x1.xmb6:sky130_fd_pr_ x1.xmb5:sky130_fd_pr_ x1.xmb4:sky130_fd_pr_
        cdg          -4.77135e-14          -8.58989e-15          -9.32772e-15
        cdd          -1.43269e-16           1.95989e-17           1.06049e-15
        cds           6.07547e-14           1.08794e-14           1.07803e-14
        csg          -7.15176e-14          -1.28486e-14          -1.30735e-14
        csd          -2.36254e-16            5.2097e-18           3.30133e-16
        css           9.10842e-14           1.62947e-14            1.6257e-14
        cgb          -1.36848e-14          -3.08167e-15          -2.93456e-15
        cdb          -1.28979e-14          -2.30908e-15          -2.51309e-15
        csb          -1.93303e-14          -3.45132e-15          -3.51364e-15
        cbb            4.5913e-14           8.84207e-15           8.96128e-15
      capbd           2.19205e-14            2.4139e-15           2.90477e-15
      capbs            3.3127e-14           3.33416e-15           3.33416e-15
         qg           1.16059e-13           2.24736e-14           2.25415e-14
         qb           -8.4385e-14          -1.61475e-14          -1.61048e-14
         qd          -1.26743e-14          -2.53335e-15           -2.6188e-15
         qs          -1.90001e-14          -3.79281e-15          -3.81787e-15
       qinv                     0                     0                     0
       qdef                    -0                     0                     0
       gcrg                     0                     0                     0
       gtau                     0                     0                     0
    vgsteff              0.115812              0.109321              0.109321
     vdseff              0.139225              0.117121              0.110841
       cgso           4.44178e-15           1.23157e-15           1.23157e-15
       cgdo           4.35055e-15           1.23157e-15           1.23157e-15
       cgbo                     0           9.80242e-20           9.80242e-20
       weff           5.99854e-05           4.95628e-06           4.95628e-06
       leff           5.27988e-07           9.76136e-07           9.76136e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.x1.xm4.msky130_fd_p m.x1.xm3.msky130_fd_p m.x1.xm2.msky130_fd_p
      model x1.xm4:sky130_fd_pr__ x1.xm3:sky130_fd_pr__ x1.xm2:sky130_fd_pr__
          l                 5e-07                 5e-07                 5e-07
          w                 5e-06                 5e-06                 1e-05
          m                     1                     1                     1
         nf                     1                     1                     1
         sa                     0                     0                     0
         sb                     0                     0                     0
         sd                     0                     0                     0
        sca                     0                     0                     0
        scb                     0                     0                     0
        scc                     0                     0                     0
         sc                     0                     0                     0
        min                     0                     0                     0
         ad              1.45e-12              1.45e-12               2.9e-12
         as              1.45e-12              1.45e-12               2.9e-12
         pd             1.058e-05             1.058e-05             2.058e-05
         ps             1.058e-05             1.058e-05             2.058e-05
        nrd                 0.058                 0.058                 0.029
        nrs                 0.058                 0.058                 0.029
        off                     0                     0                     0
       rbdb                    50                    50                    50
       rbsb                    50                    50                    50
       rbpb                    50                    50                    50
       rbps                    50                    50                    50
       rbpd                    50                    50                    50
     delvto                     0                     0                     0
      mulu0                     1                     1                     1
        xgw                     0                     0                     0
      ngcon                     1                     1                     1
   trnqsmod                     0                     0                     0
   acnqsmod                     0                     0                     0
   rbodymod                     1                     1                     1
   rgatemod                     0                     0                     0
     geomod                     0                     0                     0
    rgeomod                     0                     0                     0
       gmbs           1.62467e-05           1.61917e-05           2.03724e-05
         gm           6.29287e-05           6.27112e-05             0.0001038
        gds            4.5266e-07           4.58105e-07           1.16193e-06
      vdsat              0.122696              0.122594             0.0599432
        vth              0.981265              0.981425              0.666411
         id           4.73894e-06           4.71982e-06           4.73896e-06
        ibd          -1.10285e-12          -1.06086e-12          -7.10164e-13
        ibs          -2.99084e-19          -2.97878e-19          -2.54518e-13
        gbd                 1e-12                 1e-12                 1e-12
        gbs           1.08819e-12           1.08819e-12            1.0002e-12
       isub           5.81282e-14            3.6056e-14           3.02933e-20
      igidl                     0                     0                     0
      igisl                     0                     0                     0
        igs                     0                     0                     0
        igd                     0                     0                     0
        igb                     0                     0                     0
       igcs                     0                     0                     0
       igcd                     0                     0                     0
        vbs          -2.74838e-07           -2.7373e-07             -0.244624
        vgs               1.05775               1.05775               0.65602
        vds               1.09974               1.05775              0.455639
        cgg           1.20815e-14           1.20793e-14           2.24351e-14
        cgs          -1.08127e-14          -1.08101e-14          -1.92304e-14
        cgd            3.0978e-17           3.08232e-17          -1.91168e-18
        cbg          -2.54991e-15          -2.54992e-15          -4.95151e-15
        cbd           3.57932e-18           3.48783e-18          -1.50564e-17
        cbs           -1.3343e-15          -1.33403e-15          -2.07267e-15
        cdg          -3.81439e-15          -3.81367e-15          -7.01716e-15
        cdd          -1.31244e-17          -1.29332e-17           2.42291e-17
        cds           4.86043e-15           4.85937e-15           8.53337e-15
        csg          -5.71718e-15          -5.71568e-15          -1.04664e-14
        csd           -2.1433e-17          -2.13778e-17          -7.26099e-18
        css           7.28661e-15           7.28471e-15           1.27697e-14
        cgb          -1.29972e-15          -1.30005e-15          -3.20274e-15
        cdb          -1.03292e-15          -1.03277e-15          -1.54043e-15
        csb            -1.548e-15          -1.54765e-15          -2.29606e-15
        cbb           3.88064e-15           3.88046e-15           7.03923e-15
      capbd           1.88643e-15           1.90671e-15           4.80828e-15
      capbs            2.8131e-15            2.8131e-15           5.78825e-15
         qg           9.41958e-15           9.41829e-15             1.937e-14
         qb          -7.04375e-15           -7.0439e-15          -1.56485e-14
         qd          -9.50695e-16          -9.50147e-16          -1.49216e-15
         qs          -1.42514e-15          -1.42424e-15          -2.22925e-15
       qinv                     0                     0                     0
       qdef                    -0                    -0                     0
       gcrg                     0                     0                     0
       gtau                     0                     0                     0
    vgsteff             0.0939508             0.0938284             0.0234687
     vdseff              0.121455              0.121299              0.058471
       cgso           3.70144e-16           3.70144e-16           2.46313e-15
       cgdo           3.62569e-16           3.64189e-16           2.46313e-15
       cgbo                     0                     0           4.80242e-20
       weff           4.98539e-06           4.98539e-06           9.95628e-06
       leff           5.27988e-07           5.27988e-07           4.76136e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.x1.xm1.msky130_fd_p
      model x1.xm1:sky130_fd_pr__
          l                 5e-07
          w                 1e-05
          m                     1
         nf                     1
         sa                     0
         sb                     0
         sd                     0
        sca                     0
        scb                     0
        scc                     0
         sc                     0
        min                     0
         ad               2.9e-12
         as               2.9e-12
         pd             2.058e-05
         ps             2.058e-05
        nrd                 0.029
        nrs                 0.029
        off                     0
       rbdb                    50
       rbsb                    50
       rbpb                    50
       rbps                    50
       rbpd                    50
     delvto                     0
      mulu0                     1
        xgw                     0
      ngcon                     1
   trnqsmod                     0
   acnqsmod                     0
   rbodymod                     1
   rgatemod                     0
     geomod                     0
    rgeomod                     0
       gmbs           2.02979e-05
         gm           0.000103408
        gds           1.10722e-06
      vdsat             0.0597687
        vth              0.666344
         id           4.71984e-06
        ibd           -7.5215e-13
        ibs          -2.54518e-13
        gbd                 1e-12
        gbs            1.0002e-12
       isub           3.33631e-20
      igidl                     0
      igisl                     0
        igs                     0
        igd                     0
        igb                     0
       igcs                     0
       igcd                     0
        vbs             -0.244624
        vgs              0.655376
        vds              0.497625
        cgg           2.24071e-14
        cgs          -1.92027e-14
        cgd           5.07749e-18
        cbg          -4.95751e-15
        cbd          -1.04288e-17
        cbs           -2.0708e-15
        cdg          -6.99881e-15
        cdd           1.51349e-17
        cds           8.52008e-15
        csg          -1.04507e-14
        csd          -9.78353e-18
        css           1.27534e-14
        cgb          -3.20945e-15
        cdb          -1.53641e-15
        csb          -2.29287e-15
        cbb           7.03874e-15
      capbd            4.7414e-15
      capbs           5.78825e-15
         qg           1.93556e-14
         qb          -1.56459e-14
         qd          -1.48683e-15
         qs          -2.22288e-15
       qinv                     0
       qdef                     0
       gcrg                     0
       gtau                     0
    vgsteff             0.0232391
     vdseff             0.0584381
       cgso           2.46313e-15
       cgdo           2.46313e-15
       cgbo           4.80242e-20
       weff           9.95628e-06
       leff           4.76136e-07

